Data_Type,EMIS_Code,School_Name,District,Tehsil,Level,School_Status,Building_Illegal_Occupation,Teachers_Sanctioned,Teachers_Filled,Teachers_Present_Today,Teachers_Absent_Today,Fill_Rate_Percent,Total_Enrolled,Total_Present,Attendance_Rate_Percent,Toilets_Total,Toilets_Functional,Boundary_Wall,Electricity,Drinking_Water,Cleanliness_Building,Notes,Monitoring_Date,Source_URL,Teacher_Presence_Rate_Percent,Teacher_Absence_Rate_Percent,Student_Absence_Rate_Percent,Functional_Toilet_Rate_Percent,Boundary_Wall_Indicator,Electricity_Indicator,Drinking_Water_Indicator,Government_Monitoring_Risk_Score,Audit_Priority,Derived_Features_Source
Real,35210011,GHS KARIM BLOCK ALLAMA IQBAL TOWN,LAHORE,MODEL TOWN,High,Open,No,58,37,32,5,63.79,1301,952,73.17,46,46,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,Official PMIU visit record; AEO visit date 30-10-2025.,17-11-2025,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4128057,86.49,13.51,26.83,100.0,1.0,1,1,6.72,Low,Calculated from official PMIU/PESRP school-visit fields in Source_URL
Real,35210049,GHS GULBERG LAHORE CANTT (FATEH ABAD),LAHORE,CANTT,High,Open,No,37,25,20,5,67.57,874,616,70.48,14,8,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,06 of 14 toilets nonfunctional due to outer-side blockage; school ground reported muddy.,16-12-2025,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4161960,80.0,20.0,29.52,57.14,1.0,1,1,15.4,Low,Calculated from official PMIU/PESRP school-visit fields in Source_URL
Real,35220493,GMMS SODIWAL PIND BAND ROAD LAHORE,LAHORE,CITY,Mosque School,Open,No,3,3,2,1,100.0,70,63,90.0,2,2,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,Masjid maktab school; MEA remarked school may be merged with nearby school or a new school established in this area,23-04-2025,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4007670,66.67,33.33,10.0,100.0,1.0,1.0,1.0,7.22,Medium,Calculated from official PMIU/PESRP school-visit fields in Source_URL
Real,35210020,GHS MUSLIM LAHORE CANTT,LAHORE,CANTT,High,Open,No,40,21,20,1,52.5,605,224,37.02,13,13,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,Enrollment/present figures in official form only itemised for class 10 (224) despite total enrollment 605 - likely incomplete class-wise reporting on the source form rather than true absenteeism,26-03-2025,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/3979264,95.24,4.76,62.98,100.0,1.0,1.0,1.0,11.29,Medium,Calculated from official PMIU/PESRP school-visit fields in Source_URL
Real,36430098,GGES 50/15-L MIAN CHANNU,KHANEWAL,MIAN CHANNU,Middle,Open,No,13,8,8,0,61.54,480,444,92.5,14,14,Yes-Partially,Yes-Wholly,Yes-Wholly,Good,,15-12-2025,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4158683,100.0,0.0,7.5,100.0,,1.0,1.0,1.25,Low,Calculated from official PMIU/PESRP school-visit fields in Source_URL
Real,37330556,GGPS MC MOHRI KAMBAL,RAWALPINDI,RAWALPINDI,Primary,Open,No,4,3,3,0,75.0,73,59,80.82,5,5,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,MEA noted headmistress name inconsistent between PMIU and SIS; NSB record not updated; class 3 roster not updated after promotions,04-11-2025,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4114495,100.0,0.0,19.18,100.0,1.0,1.0,1.0,3.2,Low,Calculated from official PMIU/PESRP school-visit fields in Source_URL
Real,35220032,GHSS MOZANG LAHORE,LAHORE,CITY,H.Sec.,Open,No,43,22,15,7,51.16,402,149,37.06,15,11,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,Teacher on unauthorized long-term absence since June 2024 with no action taken; security guard falsely marked present; choukidar residing in school with family; 4 of 15 toilets nonfunctional; grades 11-12 had zero students present at visit,27-01-2025,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/3900174,68.18,31.82,62.94,73.33,1.0,1.0,1.0,20.24,Medium,Calculated from official PMIU/PESRP school-visit fields in Source_URL
Real,35220064,GGHS PAK STANDARD SHAD BAGH LAHORE,LAHORE,CITY,High,Open,No,57,46,40,6,80.7,2094,349,16.67,20,20,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,"Most grades (ECE,prep,1,2,6,7,8,9,10) were on exam duty/off during visit, explaining low headcount; leave-record discrepancy noted for one transferred PST teacher",21-03-2025,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/3971996,86.96,13.04,83.33,100.0,1.0,1.0,1.0,16.06,High,Calculated from official PMIU/PESRP school-visit fields in Source_URL
Real,37330117,GHS KHAYABAN-E-SIR SYED SECTOR 4-B,RAWALPINDI,RAWALPINDI,High,Open,No,30,24,20,4,80.0,899,519,57.73,14,14,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,Two PST teachers shown present on attendance register but not reflected in SIS system (one reportedly on dengue duty elsewhere) - register/SIS mismatch flag; NSB record not updated on SIS,27-10-2025,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4108928,83.33,16.67,42.27,100.0,1.0,1.0,1.0,9.82,Medium,Calculated from official PMIU/PESRP school-visit fields in Source_URL
Synthetic,99990001,GPS CHAK FAKE-1 (Synthetic Test Case),MULTAN,MULTAN CITY,Primary,Open,Yes,6,1,0,1,16.67,180,8,4.44,3,0,No,No,No,Poor,SYNTHETIC TEST CASE (not a real school): building reportedly used as private residence; no functional facilities; near-zero attendance despite high paper enrollment,01-01-2026,"Synthetic - for model validation, not a real PMIU record",0.0,100.0,95.56,0.0,0.0,0.0,0.0,99.26,High,Synthetic - constructed for ghost-school model validation
Synthetic,99990002,GGPS FAKE VILLAGE-2 (Synthetic Test Case),BAHAWALPUR,BAHAWALPUR SADAR,Primary,Closed,Yes,4,0,0,0,0.0,95,0,0.0,2,0,No,No,No,Poor,SYNTHETIC TEST CASE (not a real school): school found locked on visit day; no staff present; community reports non-functional for over a year despite active enrollment records,01-01-2026,"Synthetic - for model validation, not a real PMIU record",0,0,100.0,0.0,0.0,0.0,0.0,83.33,High,Synthetic - constructed for ghost-school model validation
Synthetic,99990003,GHS FAKE TOWN-3 (Synthetic Test Case),SAHIWAL,SAHIWAL,High,Open,No,20,18,3,15,90.0,850,40,4.71,10,2,Yes-Wholly,No,No,Poor,SYNTHETIC TEST CASE (not a real school): high sanctioned/filled teacher count on paper but only 3 physically present; mass unexplained absences; suspected ghost-teacher salary fraud,01-01-2026,"Synthetic - for model validation, not a real PMIU record",16.67,83.33,95.29,20.0,1.0,0.0,0.0,76.44,High,Synthetic - constructed for ghost-school model validation
Synthetic,99990004,GGES FAKE COLONY-4 (Synthetic Test Case),SIALKOT,SIALKOT,Middle,Open,Yes,8,6,6,0,75.0,220,210,95.45,6,6,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,"SYNTHETIC EDGE-CASE TEST (not a real school): every attendance/facility metric looks clean, EXCEPT two classrooms are confirmed rented to a private tuition academy. Included to test whether the model catches illegal-occupation fraud that a pure attendance-based score would miss.",01-01-2026,"Synthetic - for model validation, not a real PMIU record",100.0,0.0,4.55,100.0,1.0,1.0,1.0,0.76,High,Synthetic - constructed for ghost-school model validation
Synthetic,99990005,GPS FAKE HAMLET-5 (Synthetic Test Case),RAJANPUR,RAJANPUR,Primary,Open,No,3,3,3,0,100.0,210,205,97.62,1,1,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,"SYNTHETIC EDGE-CASE TEST (not a real school): enrollment (210) and attendance (205) are implausibly high for a 3-teacher, 1-toilet primary school. Included to test whether the model flags statistically implausible enrollment-to-capacity ratios, since every individual metric looks clean in isolation.",01-01-2026,"Synthetic - for model validation, not a real PMIU record",100.0,0.0,2.38,100.0,1.0,1.0,1.0,0.4,Medium,Synthetic - constructed for ghost-school model validation
Synthetic,99990006,GHSS FAKE JUNCTION-6 (Synthetic Test Case),VEHARI,VEHARI,H.Sec.,Open,No,25,10,2,8,40.0,600,55,9.17,8,1,No,Yes-Partially,No,Poor,"SYNTHETIC TEST CASE (not a real school): combination of low fill rate, near-total teacher absenteeism, collapsed facilities and single-digit attendance - textbook high-confidence ghost-school profile for model calibration",01-01-2026,"Synthetic - for model validation, not a real PMIU record",20.0,80.0,90.83,12.5,0.0,,0.0,76.39,High,Synthetic - constructed for ghost-school model validation
Synthetic,99990007,GES FAKE OUTPOST-7 (Synthetic Test Case),D.G.KHAN,D.G.KHAN,Middle,Open,No,10,9,8,1,90.0,300,270,90.0,5,5,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,SYNTHETIC TRUE-NEGATIVE CONTROL (not a real school): fully clean monitoring record on every metric - included so the model learns to correctly clear well-functioning schools rather than over-flagging,01-01-2026,"Synthetic - for model validation, not a real PMIU record",88.89,11.11,10.0,100.0,1.0,1.0,1.0,3.52,Low,Synthetic - constructed for ghost-school model validation
