Data_Type,EMIS_Code,School_Name,District,Tehsil,Level,School_Status,Building_Illegal_Occupation,Teachers_Sanctioned,Teachers_Filled,Teachers_Present_Today,Teachers_Absent_Today,Total_Enrolled,Total_Present,Toilets_Total,Toilets_Functional,Boundary_Wall,Electricity,Drinking_Water,Cleanliness_Building,Notes,Monitoring_Date,Source_URL
Real (Census),35130178,GPS KANVEEN BLAQA SING,KASUR,PATTOKI,Primary,Functional,No,,3,,,120,,5,5,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),38330793,GGES TIBBA MEHRBAN SHAH,MIANWALI,PIPLAN,Middle,Functional,No,,8,,,182,,4,4,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),38331081,GGCMS CHAK NO.4 DB,MIANWALI,PIPLAN,Primary,Functional,No,,6,,,194,,6,6,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),38310049,GHS DALLA MIR WALA,MIANWALI,ISA KHEL,High,Functional,No,,13,,,406,,11,11,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),38320408,GPS SHEIKHAN WALA,MIANWALI,MIANWALI,Primary,Functional,No,,5,,,68,,4,2,Yes-Wholly,Yes-Wholly,Yes-Wholly,Needed Minor Repairing,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),38320291,GPS MOUZA BAZAR,MIANWALI,MIANWALI,Primary,Functional,No,,5,,,127,,2,2,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),37140182,GGPS JAND NO.1,ATTOCK,JAND,Primary,Functional,No,,8,,,257,,6,6,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),37130189,GGES SARWAYA,ATTOCK,PINDI GHEB,Middle,Functional,No,,11,,,229,,5,5,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),37110078,GGHS SALAR,ATTOCK,ATTOCK,High,Functional,No,,18,,,404,,9,9,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),37150029,GPS CHUKRA,ATTOCK,HASSANABDAL,Primary,Functional,No,,4,,,125,,4,4,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),37130200,GGHS DHOK DHERA,ATTOCK,PINDI GHEB,High,Functional,No,,12,,,422,,6,6,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),38130070,GPS BORING AMAN ULLAH,BHAKKAR,MANKERA,Primary,Functional,No,,4,,,51,,2,2,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),38140867,GPS JHOKE HAJI,BHAKKAR,DARYA KHAN,Primary,Functional,No,,3,,,102,,4,4,Yes-Wholly,Yes-Wholly,Yes-Wholly,Needed Minor Repairing,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),38110068,GGES PIR ASHAB,BHAKKAR,BHAKKAR,Middle,Functional,No,,12,,,586,,6,6,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),38110902,GPS MIAN ISA,BHAKKAR,BHAKKAR,Primary,Functional,No,,4,,,135,,4,4,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),38130099,GPS SHAHI,BHAKKAR,MANKERA,Primary,Functional,No,,4,,,133,,4,4,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),37340027,GES ANWAR ABAD,RAWALPINDI,TAXILA,Middle,Functional,No,,17,,,531,,6,6,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),37370224,GPS TAREEL,RAWALPINDI,KALLAR SYEDAN,Primary,Functional,No,,5,,,105,,2,2,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),37330191,GGHS ADHWAL,RAWALPINDI,RAWALPINDI,High,Functional,No,,12,,,354,,6,4,Yes-Wholly,Yes-Wholly,Yes-Wholly,Needed Minor Repairing,dangerous_classrooms (source field): 2,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),37370486,GPS MANMORE,RAWALPINDI,KALLAR SYEDAN,Primary,Functional,No,,4,,,61,,2,2,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),37360304,GPS KURI DOLAL P.O KURI DOLAL,RAWALPINDI,GUJAR KHAN,Primary,Functional,No,,4,,,52,,2,2,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),37420373,GGPS NAKA REHAN,CHAKWAL,TALAGANG,Primary,Functional,No,,4,,,51,,2,2,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),37410001,GHSS PADSHAHAN,CHAKWAL,CHAKWAL,H.Sec.,Functional,No,,22,,,550,,6,6,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),37410518,GGPS REHRA,CHAKWAL,CHAKWAL,Primary,Functional,No,,4,,,21,,2,2,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),37420431,GMMS MOHALLAH SAGRAL MULTAN KHURD,CHAKWAL,TALAGANG,sMosque,Functional,No,,1,,,6,,2,2,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),37410488,GGPS MURID BALLA,CHAKWAL,CHAKWAL,Primary,Functional,No,,4,,,39,,2,2,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),33140283,GGES CHAK 66 JB-II ISLAM PURA,FAISALABAD,FAISALABAD SADDAR,Middle,Functional,No,,14,,,608,,4,4,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),33140422,GHS CHAK 199 RB,FAISALABAD,FAISALABAD SADDAR,High,Functional,No,,16,,,511,,12,12,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,dangerous_classrooms (source field): 4,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),33110139,GGPS CHAK NO 217 RB ACHKERA,FAISALABAD,FAISALABAD CITY,Primary,Functional,No,,4,,,351,,3,3,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),33130285,GES 205/GB,FAISALABAD,SAMUNDARI,Middle,Functional,No,,9,,,217,,5,2,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),33130355,GHS CHAK NO. 530/GB FSD,FAISALABAD,SAMUNDARI,High,Functional,No,,14,,,519,,8,8,Yes-Wholly,Yes-Wholly,Yes-Wholly,Needed Minor Repairing,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),36310105,GGES CHAK NO.106 EB,VEHARI,BUREWALA,Middle,Functional,No,,7,,,167,,6,4,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),36310201,GES CHAK NO.261/EB,VEHARI,BUREWALA,Middle,Functional,No,,12,,,507,,8,6,Yes-Wholly,Yes-Wholly,Yes-Wholly,Needed Minor Repairing,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
