EMIS_Code,School_Name,Latitude,Longitude,Geocode_Source
39110291,GPS 165-A/9-L,,,Not Geocoded (no coordinates available)
39110439,GGPS 40/12-L,,,Not Geocoded (no coordinates available)
39120475,GGPS CHENNA KARAMALI,30.6483426,73.098434,Nominatim-reverse (bus_station)
39110165,GGES 64/12-L,,,Not Geocoded (no coordinates available)
39120117,GES 154/9-L,30.6483426,73.098434,Nominatim-reverse (bus_station)
34520617,GES AMBALTAS,31.9000019,73.2713766,Nominatim-reverse (residential)
34520039,GGHS MADHORA KALAN,31.9000019,73.2713766,Nominatim-reverse (residential)
34520137,GES KOT KHUSHAL,31.9000019,73.2713766,Nominatim-reverse (residential)
34510043,GGES MURADIAN,32.0747092,73.6917073,Nominatim-reverse (station)
34520543,GPS NAUTHEEN STATION,31.9000019,73.2713766,Nominatim-reverse (residential)
37140021,GGHS KOT CHAJI,33.4317702,72.0196309,Nominatim-reverse (residential)
33221214,GGPS CHAK NO 259 PATOANA,31.2777606,72.3213727,Nominatim-reverse (bus_station)
34220031,GHS BHOTA,32.8100237,73.8663245,Nominatim-reverse (unclassified)
31120113,GGES CHAK NO. 200/M,29.7945611,72.857779,Nominatim-reverse (residential)
36430394,"GMPS 13/8-AR, P/O 20/8-R, TULAMBA",30.4389367,72.3550547,Nominatim-reverse (primary)
34110497,GPS DERA KULIAN,,,Not Geocoded (no coordinates available)
32210064,GPS CHAK NO 447 TDA,30.9656881,70.9459094,Nominatim-reverse (primary)
33140491,GGHS CHAK 117 JB,31.3711401,73.0706582,Nominatim-reverse (fuel)
36420009,"GHS 93/10-R, KHANEWAL",30.3022528,71.9278916,Nominatim-reverse (tertiary)
34510262,GES KARYALA,32.0747092,73.6917073,Nominatim-reverse (station)
39110150,GGHSS 21/11-L,30.530163,72.678457,Manual (Google Maps)
