EMIS_Code,School_Name,Latitude,Longitude,Geocode_Source
37320082,GPS SOHAWA PHAPHIRAL,33.9056829,73.392674,Nominatim-reverse (secondary)
31150222,GGPS DAB WALI,30.0061639,73.2661567,Nominatim-reverse (tertiary)
32330665,GPS CHIMROO WALI,30.084183,71.1939667,Nominatim-reverse (station)
37360182,GPS RAIPA,33.2590018,73.3076163,Nominatim-reverse (station)
37350011,GHS SURBA,33.8058076,73.5237431,Nominatim-reverse (residential)
37350153,GGPS BADNIAN,33.8058076,73.5237431,Nominatim-reverse (residential)
34120519,GMPS JOKHIAN,32.0346163,74.3438688,Nominatim-reverse (unclassified)
37350096,GPS KHAL CHATTAR,33.8058076,73.5237431,Nominatim-reverse (residential)
32120005,GHS BHANBHAN,,,Not Geocoded (no coordinates available)
31320001,GHSS FEROZAA,28.760002,70.820985,Manual (Google Maps)
32120041,GGHS KOT MOHEE,30.550891,70.595535,Manual (Google Maps)
35210039,GHS IQBAL GARHI SHAHU,31.5870311,74.3821182,Nominatim-reverse (attraction)
39330054,GHS 7-1R FAUJIAN,30.8782508,73.5998771,Nominatim-reverse (unclassified)
35220054,GHS SHAHDARA,31.5831841,74.3184836,Nominatim-reverse (living_street)
31240443,GES CHAK NO.10/DRB,29.3483637,71.6954115,Nominatim-reverse (primary)
32340004,GHS JHUGGI WALA,29.5105224,70.8459377,Nominatim-reverse (tertiary)
32110043,GHS ROONGHAN,,,Not Geocoded (no coordinates available)
37320274,GPS CHANGWARIAN,33.9056829,73.392674,Nominatim-reverse (secondary)
32420001,GHSS FAZILPUR,29.1002542,70.3378699,Nominatim-reverse (station)
35210824,GGHS CDG SHADMAN COLONY,31.5831841,74.3184836,Nominatim-reverse (living_street)
35210131,GES BADOKI,31.4729999,74.3108542,Nominatim-reverse (tertiary)
35220183,GPS JANJATTY,31.2443583,74.2138126,Nominatim-reverse (primary)
35220056,GGHS JIA BAGGA RAIWIND ROAD,31.2443583,74.2138126,Nominatim-reverse (primary)
32410563,GGCMES TATAR WALA,29.6384224,70.5772492,Nominatim-reverse (station)
31210225,GPS CHAK MAKHDOOM,29.2059591,71.4002392,Nominatim-reverse (fuel)
39330018,GHS KAMMAN,30.8782508,73.5998771,Nominatim-reverse (unclassified)
31210206,GPS CHAK DAWANJ,29.2059591,71.4002392,Nominatim-reverse (fuel)
32410242,GPS KHULCHAS,29.6384224,70.5772492,Nominatim-reverse (station)
37350183,GGPS CHALAWRA UPPER,33.8058076,73.5237431,Nominatim-reverse (residential)
32110506,GPS BAGH ALI MOLE,,,Not Geocoded (no coordinates available)
32320754,GPS THATHI HAMZA NO. 2,,,Not Geocoded (no coordinates available)
32220564,GMMS AOULAKH NASHEB,,,Not Geocoded (no coordinates available)
37140013,GHS TARAP,33.4317702,72.0196309,Nominatim-reverse (residential)
32430052,GPS HAFEEZ ABAD,28.78785,70.00177,Nominatim-reverse (weighbridge)
37350027,GES OJANA,33.8058076,73.5237431,Nominatim-reverse (residential)
39320043,GHS CHAK NO.12/1-R,30.80528,73.4442836,Nominatim-reverse (station)
36120106,GPS TERI WALA VILLAGE GANWEN SHUJABAD,29.678265,71.252432,Manual (Google Maps)
31150399,GMMS SAMOO WALI,30.0061639,73.2661567,Nominatim-reverse (tertiary)
31150407,GMMS MANASIRY RAM,30.0061639,73.2661567,Nominatim-reverse (tertiary)
31320431,GGPS BASTI HAFIZ GHULAM QADIR,28.6764261,70.7270481,Manual (Google Maps)
37350144,GGES CHOWKI WAGHAL,33.8058076,73.5237431,Nominatim-reverse (residential)
34120401,GMPS OUJLA KALAN,32.0346163,74.3438688,Nominatim-reverse (unclassified)
34140427,GGHS MURALI WALA,32.066431,74.142221,Manual (Google Maps)
34120345,GMPS CHAK SITTIA,32.0346163,74.3438688,Nominatim-reverse (unclassified)
34140293,GGPS DEEPAY PUR,,,Not Geocoded (no coordinates available)
34120250,GPS KALAY WALA,32.0346163,74.3438688,Nominatim-reverse (unclassified)
31250141,GGPS BONGA YARANI,29.579302,72.2453333,Nominatim-reverse (residential)
31210371,GGPS BASTI SULEMAN,29.2059591,71.4002392,Nominatim-reverse (fuel)
31240172,GPS CHAK NO.20/DNB (W),29.3483637,71.6954115,Nominatim-reverse (primary)
31230405,GGPS Riaz Khan Basti Chouhn,29.401877,71.8123884,Nominatim-reverse (trunk)
31260023,GHS HAKRA,,,Not Geocoded (no coordinates available)
34410357,GGPS TOTEWALI,32.1712427,74.9087862,Nominatim-reverse (tertiary)
34420044,GGHS GUNGRAN,32.2631481,75.1604548,Nominatim-reverse (telecommunication)
34430575,GGMPS BORI,32.3427221,74.9020032,Nominatim-reverse (unclassified)
34420506,GGPS JODHEY,32.2631481,75.1604548,Nominatim-reverse (telecommunication)
34420203,GPS TONDI,32.2631481,75.1604548,Nominatim-reverse (telecommunication)
34310578,GMPS JANDUKAY GORAYA,32.3322279,74.3512339,Nominatim-reverse (pedestrian)
34310564,GGES CHAK GILLAN SHARQI,32.3322279,74.3512339,Nominatim-reverse (pedestrian)
